Date,Open,High,Low,Close,Adj Close,Volume
2019-10-29,17.500000,17.870001,17.250000,17.770000,17.770000,671000
2019-10-30,17.780001,17.840000,17.510000,17.540001,17.540001,559500
2019-10-31,17.340000,17.389999,16.740000,16.799999,16.799999,534200
2019-11-01,16.879999,17.410000,16.879999,17.400000,17.400000,340600
2019-11-04,17.450001,18.150000,17.450001,17.840000,17.840000,475000
2019-11-05,17.889999,18.215000,17.280001,17.370001,17.370001,297600
2019-11-06,17.459999,17.969000,17.450001,17.889999,17.889999,478100
2019-11-07,19.750000,19.959999,16.865000,17.290001,17.290001,2102600
2019-11-08,17.200001,17.628000,16.900000,17.120001,17.120001,515400
2019-11-11,17.150000,17.150000,16.440001,16.799999,16.799999,554600
2019-11-12,16.870001,18.480000,16.780001,18.440001,18.440001,1390000
2019-11-13,17.610001,17.750000,16.920000,17.090000,17.090000,1254800
2019-11-14,17.150000,17.730000,16.250000,16.389999,16.389999,949400
2019-11-15,16.520000,16.900000,16.080000,16.379999,16.379999,682400
2019-11-18,16.420000,17.000000,16.420000,16.790001,16.790001,1110600
2019-11-19,17.139999,17.740000,17.070000,17.260000,17.260000,928600
2019-11-20,17.139999,17.410000,16.920000,17.139999,17.139999,388300
2019-11-21,17.100000,17.290001,16.709999,16.850000,16.850000,255400
2019-11-22,16.980000,17.100000,16.650000,16.740000,16.740000,315300
2019-11-25,16.670000,16.930000,16.430000,16.469999,16.469999,1133100
2019-11-26,16.510000,16.700001,16.219999,16.420000,16.420000,479600
2019-11-27,16.440001,16.549999,16.280001,16.389999,16.389999,563700
2019-11-29,16.400000,16.809999,16.240000,16.570000,16.570000,343000
2019-12-02,16.600000,16.660000,16.209999,16.379999,16.379999,428400
2019-12-03,15.990000,16.000000,15.010000,15.560000,15.560000,3051900
2019-12-04,15.720000,15.860000,15.385000,15.580000,15.580000,603800
2019-12-05,15.600000,15.770000,14.790000,14.910000,14.910000,1182000
2019-12-06,15.130000,15.380000,15.090000,15.260000,15.260000,1151300
2019-12-09,15.260000,15.365000,15.000000,15.160000,15.160000,364700
2019-12-10,15.170000,15.210000,14.800000,14.840000,14.840000,549500
2019-12-11,14.830000,14.920000,14.570000,14.690000,14.690000,443800
2019-12-12,14.650000,15.030000,14.590000,14.750000,14.750000,507400
2019-12-13,14.750000,15.110000,14.630000,14.840000,14.840000,1025400
2019-12-16,15.610000,16.070000,15.370000,15.500000,15.500000,1494500
2019-12-17,15.490000,15.830000,15.210000,15.750000,15.750000,719300
2019-12-18,15.720000,15.890000,15.110000,15.440000,15.440000,584500
2019-12-19,15.480000,15.600000,15.010000,15.270000,15.270000,745000
2019-12-20,15.410000,15.920000,15.160000,15.770000,15.770000,602300
2019-12-23,15.770000,15.870000,15.535000,15.690000,15.690000,466200
2019-12-24,15.630000,15.810000,15.545000,15.810000,15.810000,295600
2019-12-26,15.840000,15.990000,15.500000,15.740000,15.740000,604600
2019-12-27,15.850000,16.120001,15.700000,15.960000,15.960000,568400
2019-12-30,15.890000,15.890000,15.410000,15.720000,15.720000,366600
2019-12-31,15.570000,16.225000,15.520000,16.129999,16.129999,731600
2020-01-02,16.230000,16.240000,15.645000,15.700000,15.700000,470400
2020-01-03,15.520000,15.840000,15.400000,15.710000,15.710000,342900
2020-01-06,15.670000,15.890000,15.570000,15.680000,15.680000,322100
2020-01-07,15.530000,15.600000,14.200000,14.860000,14.860000,1749100
2020-01-08,14.850000,15.230000,14.810000,15.190000,15.190000,718400
2020-01-09,15.290000,15.600000,15.010000,15.460000,15.460000,520500
2020-01-10,15.390000,15.490000,15.160000,15.330000,15.330000,280500
2020-01-13,15.250000,15.900000,15.120000,15.390000,15.390000,1258000
2020-01-14,15.390000,15.440000,14.860000,15.120000,15.120000,577200
2020-01-15,15.070000,15.300000,14.442000,14.720000,14.720000,759500
2020-01-16,14.830000,15.040000,14.740000,14.750000,14.750000,596700
2020-01-17,14.980000,15.370000,14.900000,15.140000,15.140000,634900
2020-01-21,15.070000,15.940000,15.025000,15.860000,15.860000,772000
2020-01-22,16.040001,16.040001,15.460000,15.500000,15.500000,748900
2020-01-23,15.450000,15.495000,15.010000,15.020000,15.020000,407600
2020-01-24,15.020000,15.210000,14.775000,14.920000,14.920000,367600
2020-01-27,15.320000,15.480000,14.850000,15.340000,15.340000,588000
2020-01-28,15.410000,15.800000,15.410000,15.660000,15.660000,460600
2020-01-29,15.740000,15.770000,15.480000,15.710000,15.710000,505600
2020-01-30,15.720000,15.720000,15.180000,15.520000,15.520000,556700
2020-01-31,15.500000,16.040001,15.500000,15.680000,15.680000,1135000
2020-02-03,15.720000,16.405001,15.720000,16.299999,16.299999,584600
2020-02-04,17.250000,17.500000,16.805000,17.129999,17.129999,1549500
2020-02-05,17.260000,17.889999,17.030001,17.340000,17.340000,1375200
2020-02-06,19.020000,19.100000,18.420000,18.930000,18.930000,2767300
2020-02-07,18.900000,19.080000,18.450001,18.959999,18.959999,1118200
2020-02-10,18.950001,19.040001,18.660000,18.959999,18.959999,708100
2020-02-11,18.959999,18.969999,18.650000,18.740000,18.740000,1154400
2020-02-12,18.900000,19.440001,18.740000,19.059999,19.059999,1266200
2020-02-13,18.870001,19.920000,18.600000,19.840000,19.840000,1796900
2020-02-14,19.940001,20.000000,19.520000,19.750000,19.750000,1041200
2020-02-18,19.459999,19.830000,19.120001,19.690001,19.690001,552900
2020-02-19,19.719999,19.920000,19.410000,19.520000,19.520000,666800
2020-02-20,19.500000,19.680000,18.870001,19.200001,19.200001,1195400
2020-02-21,19.200001,19.260000,18.780001,19.070000,19.070000,595300
2020-02-24,18.469999,18.580000,18.059999,18.150000,18.150000,731500
2020-02-25,18.440001,18.540001,17.320000,17.490000,17.490000,1461200
2020-02-26,17.639999,17.959999,17.150000,17.209999,17.209999,863200
2020-02-27,16.809999,16.830000,16.110001,16.200001,16.200001,1229000
2020-02-28,15.700000,16.059999,15.514000,15.960000,15.960000,1126900
2020-03-02,16.100000,16.594999,15.810000,16.510000,16.510000,1253900
2020-03-03,16.059999,16.650000,15.450000,16.280001,16.280001,1505200
2020-03-04,16.559999,17.000000,16.139999,16.690001,16.690001,1198400
2020-03-05,16.250000,16.600000,16.040001,16.049999,16.049999,742800
2020-03-06,15.660000,15.830000,15.250000,15.650000,15.650000,713300
2020-03-09,14.580000,14.910000,13.855000,14.040000,14.040000,850900
2020-03-10,14.440000,14.840000,14.220000,14.620000,14.620000,1006400
2020-03-11,14.230000,14.780000,13.480000,13.690000,13.690000,885200
2020-03-12,12.730000,13.170000,11.890000,11.990000,11.990000,1110500
2020-03-13,12.490000,12.850000,11.050000,11.710000,11.710000,987200
2020-03-16,10.560000,10.915000,9.080000,9.220000,9.220000,1388500
2020-03-17,9.390000,9.600000,7.860000,8.500000,8.500000,1804300
2020-03-18,8.030000,8.576000,7.870000,8.130000,8.130000,1355900
2020-03-19,8.030000,8.770000,7.580000,8.570000,8.570000,1247100
2020-03-20,8.660000,9.560000,8.340000,8.730000,8.730000,1106900
2020-03-23,8.720000,9.450000,8.300000,9.260000,9.260000,1317800
2020-03-24,9.560000,10.150000,9.190000,9.380000,9.380000,1069700
2020-03-25,9.510000,10.800000,9.350000,10.300000,10.300000,1583300
2020-03-26,10.360000,11.400000,10.350000,11.260000,11.260000,1278700
2020-03-27,10.860000,11.070000,10.120000,10.330000,10.330000,891800
2020-03-30,10.410000,10.750000,9.790000,9.990000,9.990000,1242200
2020-03-31,9.960000,10.440000,9.480000,9.840000,9.840000,831900
